Date,Open,Hight,Low,Close,Volume,Adj Close
2007/10/01,2150,2150,1900,2015,69800,2015
2007/10/02,2100,2100,1992,2020,51800,2020
2007/10/03,1981,2070,1911,2065,152600,2065
2007/10/04,2145,2180,2075,2145,168800,2145
2007/10/05,2150,2160,2070,2150,63300,2150
2007/10/09,2070,2115,2065,2095,134300,2095
2007/10/10,2135,2135,2035,2040,100900,2040
2007/10/11,2140,2145,2095,2140,146900,2140
2007/10/12,2140,2150,2110,2115,98700,2115
2007/10/15,2115,2130,2025,2035,87300,2035
2007/10/16,2010,2025,1934,1947,93000,1947
2007/10/17,1917,1930,1871,1900,125100,1900
2007/10/18,1926,1940,1905,1940,43900,1940
2007/10/19,1901,1901,1870,1876,80800,1876
2007/10/22,1855,1870,1814,1860,58300,1860
2007/10/23,1856,1920,1840,1900,39900,1900
2007/10/24,1874,1886,1835,1856,81900,1856
2007/10/25,1820,1838,1803,1822,156000,1822
2007/10/26,1860,1860,1806,1820,112600,1820
2007/10/29,1801,1829,1801,1823,133800,1823
2007/10/30,1815,1862,1810,1862,181900,1862
2007/10/31,1892,1892,1868,1883,195200,1883
2007/11/01,1883,1895,1834,1843,65200,1843
2007/11/02,1821,1839,1803,1804,97200,1804
2007/11/05,1745,1745,1651,1670,194400,1670
2007/11/06,1726,1770,1673,1770,349500,1770
2007/11/07,1722,1760,1690,1725,171300,1725
2007/11/08,1670,1695,1669,1685,73000,1685
2007/11/09,1674,1674,1612,1620,170900,1620
2007/11/12,1590,1599,1554,1557,94000,1557
2007/11/13,1551,1585,1525,1565,75100,1565
2007/11/14,1595,1599,1565,1579,70900,1579
2007/11/15,1610,1750,1605,1743,218700,1743
2007/11/16,1623,1677,1623,1674,115800,1674
2007/11/19,1671,1671,1579,1591,154600,1591
2007/11/20,1531,1544,1471,1499,263900,1499
2007/11/21,1490,1490,1406,1419,225100,1419
2007/11/22,1419,1496,1407,1495,151200,1495
2007/11/26,1555,1579,1555,1567,261300,1567
2007/11/27,1627,1718,1580,1718,261900,1718
2007/11/28,1748,1780,1718,1775,216400,1775
2007/11/29,1776,1794,1775,1788,117000,1788
2007/11/30,1765,1801,1734,1796,148400,1796
2007/12/03,1798,1799,1765,1776,36400,1776
2007/12/04,1750,1783,1750,1762,75200,1762
2007/12/05,1721,1757,1702,1755,148200,1755
2007/12/06,1792,1792,1743,1792,66700,1792
2007/12/07,1795,1805,1757,1778,169900,1778
2007/12/10,1800,1820,1788,1807,109400,1807
2007/12/11,1837,1842,1780,1801,119400,1801
2007/12/12,1820,1820,1790,1807,45500,1807
2007/12/13,1820,1828,1780,1785,55800,1785
2007/12/14,1800,1836,1799,1822,134100,1822
2007/12/17,1822,1822,1800,1805,76900,1805
2007/12/18,1780,1811,1780,1793,65500,1793
2007/12/19,1780,1821,1780,1803,83900,1803
2007/12/20,1800,1815,1797,1804,107100,1804
2007/12/21,1815,1823,1790,1807,93100,1807
2007/12/25,1815,1815,1804,1814,22900,1814
2007/12/26,1820,1839,1806,1839,28700,1839
2007/12/27,1849,1851,1818,1821,47500,1821
2007/12/28,1810,1823,1795,1805,26300,1805
2008/01/04,1791,1797,1693,1693,68900,1693
2008/01/07,1693,1714,1654,1677,99200,1677
2008/01/08,1660,1675,1639,1655,77900,1655
2008/01/09,1645,1695,1629,1693,89900,1693
2008/01/10,1694,1720,1680,1713,100100,1713
2008/01/11,1743,1746,1705,1727,72300,1727
2008/01/15,1718,1742,1681,1684,116300,1684
2008/01/16,1624,1667,1600,1603,127000,1603
2008/01/17,1600,1616,1580,1600,75700,1600
2008/01/18,1580,1704,1510,1685,180700,1685
2008/01/21,1695,1733,1630,1686,128300,1686
2008/01/22,1626,1729,1623,1651,145300,1651
2008/01/23,1831,1831,1656,1691,308000,1691
2008/01/24,1749,1795,1712,1741,211700,1741
2008/01/25,1800,1800,1729,1767,284700,1767
2008/01/28,1791,1791,1747,1752,96400,1752
2008/01/29,1799,1799,1752,1770,226300,1770
2008/01/30,1798,1890,1773,1832,145300,1832
2008/01/31,1777,1885,1774,1880,174400,1880
2008/02/01,1872,1911,1863,1876,287700,1876
2008/02/04,1900,1947,1880,1940,177600,1940
2008/02/05,1941,1952,1935,1948,122900,1948
2008/02/06,1922,1927,1901,1911,218300,1911
2008/02/07,1910,1948,1907,1947,254500,1947
2008/02/08,1940,2055,1940,2040,220700,2040
2008/02/12,2040,2040,2005,2020,98400,2020
2008/02/13,2030,2065,2015,2020,119500,2020
2008/02/14,2025,2060,2025,2055,133100,2055
2008/02/15,2065,2210,2055,2135,564500,2135
2008/02/18,2100,2125,2090,2100,132100,2100
2008/02/19,2100,2100,2010,2050,234000,2050
2008/02/20,2000,2000,1905,1931,221100,1931
2008/02/21,1956,1993,1940,1970,229300,1970
2008/02/22,1967,1967,1910,1937,165800,1937
2008/02/25,1955,2025,1955,2000,192700,2000
2008/02/26,1950,1964,1852,1852,199600,1852
2008/02/27,1868,1890,1861,1879,151800,1879
2008/02/28,1850,1887,1841,1882,74600,1882
2008/02/29,1882,1894,1850,1887,109700,1887
2008/03/03,1797,1916,1785,1877,177600,1877
2008/03/04,1825,1847,1776,1836,272700,1836
2008/03/05,1828,1828,1771,1788,169300,1788
2008/03/06,1789,1832,1744,1828,193800,1828
2008/03/07,1828,1828,1754,1760,270600,1760
2008/03/10,1732,1733,1697,1700,224900,1700
